order_id,order_date,customer_id,product,region,quantity,unit_price
ORD-000001,2024-04-12,CUST-00229,Webcam,West,1,64.1
ORD-000002,2025-03-11,CUST-00537,Mechanical Keyboard,East,2,80.98
ORD-000003,2024-09-27,CUST-00268,Wireless Mouse,South,2,27.46
ORD-000004,2024-04-16,CUST-01035,USB-C Hub,North,2,48.48
ORD-000005,2024-03-12,CUST-00126,Laptop Stand,West,2,33.95
ORD-000006,2025-12-01,CUST-00306,Noise-Canceling Headphones,South,3,189.72
ORD-000007,2024-01-21,CUST-01113,Standing Desk Converter,East,1,208.59
ORD-000008,2025-09-06,CUST-00628,Standing Desk Converter,North,1,204.76
ORD-000009,2024-05-01,CUST-00689,USB-C Hub,West,1,46.71
ORD-000010,2025-04-11,CUST-01038,Office Chair,South,2,259.36
ORD-000011,2024-08-02,CUST-00281,Standing Desk Converter,West,2,211.53
ORD-000012,2024-11-26,CUST-00443,27in Monitor,East,3,221.76
ORD-000013,2025-04-03,CUST-00837,Standing Desk Converter,North,3,197.58
ORD-000014,2024-03-28,CUST-00389,Mechanical Keyboard,East,4,97.17
ORD-000015,2025-01-07,CUST-00617,USB-C Hub,West,2,43.85
ORD-000016,2024-04-09,CUST-00147,Laptop Stand,West,2,38.08
ORD-000017,2025-10-25,CUST-00521,USB-C Hub,South,2,47.25
ORD-000018,2024-05-10,CUST-00630,Laptop Stand,West,4,42.97
ORD-000019,2025-10-23,CUST-00434,27in Monitor,South,3,213.47
ORD-000020,2024-11-04,CUST-00144,Standing Desk Converter,South,2,195.11
ORD-000021,2024-12-09,CUST-00289,USB-C Hub,East,1,47.15
ORD-000022,2025-05-06,CUST-00014,Webcam,North,1,65.81
ORD-000023,2025-02-17,CUST-00257,External SSD,East,2,120.51
ORD-000024,2025-01-20,CUST-00858,27in Monitor,East,2,230.46
ORD-000025,2024-07-10,CUST-00943,Office Chair,East,2,265.65
ORD-000026,2024-10-03,CUST-01196,Webcam,North,2,66.05
ORD-000027,2024-06-09,CUST-00464,Laptop Stand,East,1,29.92
ORD-000028,2025-04-04,CUST-00270,USB-C Hub,East,3,44.58
ORD-000029,2024-11-09,CUST-01176,Laptop Stand,East,1,41.35
ORD-000030,2024-01-22,CUST-00623,Laptop Stand,West,3,39.31
ORD-000031,2024-09-09,CUST-00072,27in Monitor,North,4,232.1
ORD-000032,2025-07-14,CUST-00074,Webcam,West,1,62.84
ORD-000033,2025-04-19,CUST-00355,USB-C Hub,West,3,46.87
ORD-000034,2024-02-28,CUST-00497,Standing Desk Converter,East,1,201.58
ORD-000035,2025-05-25,CUST-00988,Wireless Mouse,East,2,23.48
ORD-000036,2025-11-12,CUST-00580,Noise-Canceling Headphones,South,1,167.01
ORD-000037,2025-04-20,CUST-00910,Noise-Canceling Headphones,South,1,167.22
ORD-000038,2025-11-30,CUST-00373,27in Monitor,East,4,214.29
ORD-000039,2024-07-08,CUST-00362,Office Chair,South,2,286.89
ORD-000040,2025-11-17,CUST-00093,Mechanical Keyboard,South,1,79.97
ORD-000041,2025-07-16,CUST-00324,Wireless Mouse,East,2,29.22
ORD-000042,2025-07-20,CUST-00384,USB-C Hub,West,2,46.46
ORD-000043,2024-08-31,CUST-00575,Noise-Canceling Headphones,North,3,168.09
ORD-000044,2025-05-19,CUST-00736,Office Chair,West,1,248.15
ORD-000045,2024-05-10,CUST-00737,Mechanical Keyboard,North,4,95.95
ORD-000046,2025-04-29,CUST-00346,Webcam,East,2,54.34
ORD-000047,2025-10-08,CUST-01127,USB-C Hub,East,1,44.18
ORD-000048,2024-01-21,CUST-00719,Laptop Stand,North,1,32.77
ORD-000049,2024-06-15,CUST-00781,Office Chair,West,3,273.22
ORD-000050,2024-09-30,CUST-01020,USB-C Hub,South,1,40.14
ORD-000051,2025-01-22,CUST-00664,Wireless Mouse,North,4,22.64
ORD-000052,2025-08-23,CUST-00600,Laptop Stand,East,2,39.49
ORD-000053,2024-11-11,CUST-00011,Wireless Mouse,East,1,24.63
ORD-000054,2024-01-14,CUST-00187,External SSD,West,4,116.23
ORD-000055,2024-08-29,CUST-00726,Noise-Canceling Headphones,South,2,183.05
ORD-000056,2024-12-11,CUST-01039,Mechanical Keyboard,South,1,88.0
ORD-000057,2025-07-18,CUST-00778,Office Chair,North,2,250.17
ORD-000058,2024-12-05,CUST-00411,Laptop Stand,East,1,33.62
ORD-000059,2024-04-01,CUST-00956,Noise-Canceling Headphones,East,1,192.25
ORD-000060,2025-01-01,CUST-00585,27in Monitor,West,4,203.03
ORD-000061,2025-03-30,CUST-01076,Wireless Mouse,East,4,25.18
ORD-000062,2025-03-03,CUST-01052,External SSD,West,4,136.01
ORD-000063,2025-05-23,CUST-00577,Wireless Mouse,West,4,24.41
ORD-000064,2024-02-04,CUST-01041,USB-C Hub,South,1,48.45
ORD-000065,2024-07-24,CUST-00989,Webcam,North,3,56.81
ORD-000066,2024-03-21,CUST-00743,External SSD,North,2,125.42
ORD-000067,2025-07-15,CUST-01128,External SSD,South,2,129.32
ORD-000068,2025-01-22,CUST-00204,Mechanical Keyboard,East,2,86.75
ORD-000069,2024-01-02,CUST-01077,Office Chair,North,1,308.88
ORD-000070,2025-01-24,CUST-00974,27in Monitor,South,1,214.67
ORD-000071,2025-07-19,CUST-00940,27in Monitor,South,2,195.55
ORD-000072,2024-04-15,CUST-01078,Mechanical Keyboard,North,1,100.15
ORD-000073,2025-04-21,CUST-01055,Wireless Mouse,South,4,27.61
ORD-000074,2025-12-03,CUST-01159,Standing Desk Converter,North,4,176.18
ORD-000075,2025-02-05,CUST-01082,Noise-Canceling Headphones,South,4,182.63
ORD-000076,2025-12-30,CUST-00105,Standing Desk Converter,North,2,185.17
ORD-000077,2025-07-09,CUST-00253,USB-C Hub,West,2,41.32
ORD-000078,2024-06-10,CUST-00295,27in Monitor,North,2,210.61
ORD-000079,2024-07-20,CUST-00668,Office Chair,West,2,264.37
ORD-000080,2024-09-26,CUST-01182,Webcam,East,1,66.87
ORD-000081,2024-09-27,CUST-00549,Wireless Mouse,South,3,24.38
ORD-000082,2025-03-31,CUST-00631,Office Chair,East,1,271.42
ORD-000083,2025-04-06,CUST-01091,Office Chair,South,1,243.51
ORD-000084,2025-12-27,CUST-00299,Laptop Stand,North,4,35.69
ORD-000085,2024-09-08,CUST-00101,External SSD,West,1,111.67
ORD-000086,2025-12-02,CUST-01080,Noise-Canceling Headphones,West,1,153.93
ORD-000087,2024-10-22,CUST-00332,External SSD,West,3,115.09
ORD-000088,2025-12-25,CUST-00836,Office Chair,East,1,286.32
ORD-000089,2025-12-20,CUST-00393,Mechanical Keyboard,South,3,70.6
ORD-000090,2024-12-03,CUST-00874,Standing Desk Converter,South,2,202.61
ORD-000091,2024-02-22,CUST-00381,Laptop Stand,East,1,36.28
ORD-000092,2024-08-04,CUST-00092,External SSD,West,2,118.67
ORD-000093,2024-07-06,CUST-00447,USB-C Hub,South,4,42.25
ORD-000094,2025-01-14,CUST-00109,Webcam,West,1,62.3
ORD-000095,2025-05-07,CUST-00317,Webcam,South,1,65.38
ORD-000096,2024-02-10,CUST-01192,Noise-Canceling Headphones,East,1,185.55
ORD-000097,2024-06-05,CUST-00442,USB-C Hub,West,1,44.24
ORD-000098,2024-01-15,CUST-00218,External SSD,West,2,145.91
ORD-000099,2024-03-05,CUST-00673,External SSD,East,4,122.04
ORD-000100,2025-06-04,CUST-00278,Office Chair,South,4,221.4
ORD-000101,2024-12-09,CUST-01009,External SSD,North,2,126.84
ORD-000102,2024-05-08,CUST-00569,USB-C Hub,North,4,44.17
ORD-000103,2025-10-09,CUST-01010,Webcam,East,2,58.89
ORD-000104,2025-04-16,CUST-00875,Office Chair,East,4,289.46
ORD-000105,2024-03-03,CUST-00466,Wireless Mouse,East,4,27.02
